,Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-70B-Instruct,Qwen2-72B-Instruct,tulu-2-dpo-70b,Average
Lingjie vs Shaohanh,0.72,0.66,0.76,0.88,0.7549999999999999
Lingjie vs Label3_8B,0.7,0.74,0.84,0.92,0.7999999999999999
Lingjie vs gpt4_text,0.56,0.5,0.68,0.8,0.635
Lingjie vs gpt4_image,0.58,0.6,0.64,0.74,0.6399999999999999
Shaohanh vs Label3_8B,0.74,0.68,0.76,0.92,0.7749999999999999
Shaohanh vs gpt4_text,0.58,0.6,0.64,0.84,0.6649999999999999
Shaohanh vs gpt4_image,0.46,0.52,0.56,0.78,0.5800000000000001
Label3_8B vs gpt4_text,0.64,0.48,0.82,0.88,0.705
Label3_8B vs gpt4_image,0.58,0.6,0.74,0.78,0.675
gpt4_text vs gpt4_image,0.54,0.52,0.72,0.8,0.645
